trade_id,account_id,related_group,symbol,side,volume,open_time,close_time,hold_seconds
N1393,ACC-4,ACC-4,USDJPY,BUY,1.97,2026-09-18 08:44:50.000000,2026-09-18 09:08:16.000000,1406.0
N1273,ACC-5,ACC-5,AUDUSD,SELL,1.08,2026-09-18 07:51:04.000000,2026-09-18 11:42:31.000000,13887.0
N1278,ACC-10,ACC-10,EURUSD,BUY,0.23,2026-09-18 07:44:28.000000,2026-09-18 09:05:29.000000,4861.0
N1226,ACC-3,ACC-3,GBPUSD,SELL,1.42,2026-09-18 07:56:02.000000,2026-09-18 09:58:06.000000,7324.0
N1151,ACC-6,ACC-6,EURUSD,BUY,1.91,2026-09-18 08:15:12.000000,2026-09-18 12:03:36.000000,13704.0
N1344,ACC-10,ACC-10,GBPUSD,SELL,1.09,2026-09-18 11:18:43.000000,2026-09-18 13:41:34.000000,8571.0
N1191,ACC-9,ACC-9,USDJPY,SELL,0.36,2026-09-18 10:11:40.000000,2026-09-18 10:29:24.000000,1064.0
N1009,ACC-2,ACC-2,USDJPY,SELL,1.65,2026-09-18 12:20:06.000000,2026-09-18 12:21:31.000000,85.0
N1139,ACC-6,ACC-6,AUDUSD,SELL,1.94,2026-09-18 07:07:53.000000,2026-09-18 08:23:22.000000,4529.0
N1199,ACC-7,ACC-7,AUDUSD,BUY,1.12,2026-09-18 08:00:38.000000,2026-09-18 11:13:51.000000,11593.0
N1366,ACC-8,ACC-8,GBPUSD,SELL,0.48,2026-09-18 10:34:51.000000,2026-09-18 12:35:07.000000,7216.0
N1211,ACC-2,ACC-2,EURUSD,SELL,1.7,2026-09-18 12:18:06.000000,2026-09-18 13:07:26.000000,2960.0
N1186,ACC-5,ACC-5,EURUSD,BUY,0.17,2026-09-18 10:30:31.000000,2026-09-18 12:05:25.000000,5694.0
N1297,ACC-8,ACC-8,EURUSD,SELL,0.99,2026-09-18 09:06:50.000000,2026-09-18 12:59:41.000000,13971.0
N1132,ACC-3,ACC-3,AUDUSD,BUY,1.53,2026-09-18 09:33:42.000000,2026-09-18 10:28:37.000000,3295.0
N1293,ACC-8,ACC-8,EURUSD,BUY,1.43,2026-09-18 08:44:46.000000,2026-09-18 09:14:56.000000,1810.0
N1333,ACC-3,ACC-3,GBPUSD,SELL,0.65,2026-09-18 09:08:16.000000,2026-09-18 10:45:30.000000,5834.0
N1282,ACC-6,ACC-6,AUDUSD,SELL,1.71,2026-09-18 07:48:20.000000,2026-09-18 08:19:13.000000,1853.0
N1359,ACC-3,ACC-3,EURUSD,SELL,1.77,2026-09-18 07:51:57.000000,2026-09-18 11:24:37.000000,12760.0
N1365,ACC-5,ACC-5,EURUSD,SELL,0.38,2026-09-18 09:59:25.000000,2026-09-18 12:17:18.000000,8273.0
N1049,ACC-6,ACC-6,EURUSD,SELL,0.31,2026-09-18 12:09:00.000000,2026-09-18 14:57:28.000000,10108.0
N1123,ACC-9,ACC-9,GBPUSD,BUY,0.95,2026-09-18 10:57:19.000000,2026-09-18 14:34:50.000000,13051.0
N1047,ACC-9,ACC-9,USDJPY,SELL,0.37,2026-09-18 12:25:27.000000,2026-09-18 14:10:27.000000,6300.0
N1385,ACC-7,ACC-7,USDJPY,BUY,1.4,2026-09-18 10:31:16.000000,2026-09-18 13:57:20.000000,12364.0
N1246,ACC-8,ACC-8,AUDUSD,SELL,1.09,2026-09-18 07:13:32.000000,2026-09-18 10:44:05.000000,12633.0
N1108,ACC-7,ACC-7,GBPUSD,BUY,1.83,2026-09-18 09:47:59.000000,2026-09-18 12:56:31.000000,11312.0
N1382,ACC-4,ACC-4,GBPUSD,SELL,1.06,2026-09-18 11:31:16.000000,2026-09-18 12:54:17.000000,4981.0
N1157,ACC-4,ACC-4,USDJPY,SELL,0.43,2026-09-18 07:45:45.000000,2026-09-18 08:53:23.000000,4058.0
N1149,ACC-6,ACC-6,GBPUSD,SELL,0.16,2026-09-18 08:03:07.000000,2026-09-18 09:24:21.000000,4874.0
N1354,ACC-2,ACC-2,AUDUSD,SELL,0.24,2026-09-18 11:12:19.000000,2026-09-18 12:40:58.000000,5319.0
N1062,ACC-8,ACC-8,EURUSD,BUY,0.13,2026-09-18 10:53:35.000000,2026-09-18 13:36:31.000000,9776.0
N1252,ACC-7,ACC-7,AUDUSD,BUY,0.88,2026-09-18 07:14:22.000000,2026-09-18 08:29:39.000000,4517.0
N1221,ACC-7,ACC-7,EURUSD,BUY,1.78,2026-09-18 08:13:00.000000,2026-09-18 09:57:44.000000,6284.0
N1316,ACC-3,ACC-3,AUDUSD,SELL,1.88,2026-09-18 07:33:44.000000,2026-09-18 11:04:38.000000,12654.0
N1327,ACC-7,ACC-7,USDJPY,BUY,1.94,2026-09-18 11:29:32.000000,2026-09-18 13:49:55.000000,8423.0
N1115,ACC-3,ACC-3,EURUSD,SELL,0.37,2026-09-18 12:57:58.000000,2026-09-18 16:31:49.000000,12831.0
SCALP11,ACC-3,ACC-3,EURUSD,SELL,0.17,2026-09-18 08:04:48.614153,2026-09-18 08:04:52.543419,3.929266
N1292,ACC-1,ACC-1,GBPUSD,SELL,1.6,2026-09-18 09:00:42.000000,2026-09-18 10:41:43.000000,6061.0
N1237,ACC-1,ACC-1,GBPUSD,SELL,1.34,2026-09-18 11:54:22.000000,2026-09-18 15:30:48.000000,12986.0
N1280,ACC-8,ACC-8,USDJPY,BUY,1.42,2026-09-18 11:48:21.000000,2026-09-18 14:58:13.000000,11392.0
N1240,ACC-9,ACC-9,GBPUSD,SELL,1.34,2026-09-18 10:30:12.000000,2026-09-18 12:24:44.000000,6872.0
N1299,ACC-8,ACC-8,EURUSD,SELL,0.11,2026-09-18 08:20:28.000000,2026-09-18 08:53:46.000000,1998.0
N1312,ACC-3,ACC-3,USDJPY,BUY,0.48,2026-09-18 08:28:09.000000,2026-09-18 09:44:20.000000,4571.0
N1000,ACC-10,ACC-10,USDJPY,SELL,1.61,2026-09-18 12:56:05.000000,2026-09-18 15:21:19.000000,8714.0
N1060,ACC-9,ACC-9,USDJPY,SELL,1.49,2026-09-18 07:14:32.000000,2026-09-18 09:21:49.000000,7637.0
N1250,ACC-1,ACC-1,USDJPY,BUY,1.48,2026-09-18 10:32:18.000000,2026-09-18 12:19:41.000000,6443.0
N1330,ACC-5,ACC-5,USDJPY,BUY,1.64,2026-09-18 09:11:49.000000,2026-09-18 11:13:23.000000,7294.0
N1318,ACC-9,ACC-9,GBPUSD,SELL,0.92,2026-09-18 12:35:25.000000,2026-09-18 15:40:43.000000,11118.0
N1358,ACC-5,ACC-5,AUDUSD,SELL,1.69,2026-09-18 09:00:08.000000,2026-09-18 11:43:34.000000,9806.0
N1101,ACC-6,ACC-6,EURUSD,BUY,0.55,2026-09-18 11:28:14.000000,2026-09-18 11:53:50.000000,1536.0
N1122,ACC-1,ACC-1,GBPUSD,BUY,1.48,2026-09-18 07:52:02.000000,2026-09-18 09:05:45.000000,4423.0
N1153,ACC-7,ACC-7,GBPUSD,SELL,1.7,2026-09-18 07:00:51.000000,2026-09-18 07:54:11.000000,3200.0
N1309,ACC-1,ACC-1,GBPUSD,BUY,1.35,2026-09-18 09:50:30.000000,2026-09-18 11:34:28.000000,6238.0
N1272,ACC-1,ACC-1,AUDUSD,BUY,1.23,2026-09-18 09:35:59.000000,2026-09-18 11:00:59.000000,5100.0
N1229,ACC-8,ACC-8,EURUSD,SELL,1.2,2026-09-18 09:17:33.000000,2026-09-18 12:09:27.000000,10314.0
N1055,ACC-10,ACC-10,AUDUSD,BUY,0.66,2026-09-18 08:14:30.000000,2026-09-18 12:00:46.000000,13576.0
N1168,ACC-7,ACC-7,EURUSD,BUY,1.95,2026-09-18 08:45:51.000000,2026-09-18 12:25:45.000000,13194.0
N1328,ACC-8,ACC-8,USDJPY,BUY,1.56,2026-09-18 12:20:51.000000,2026-09-18 13:48:23.000000,5252.0
N1198,ACC-1,ACC-1,AUDUSD,BUY,0.15,2026-09-18 10:44:40.000000,2026-09-18 11:17:14.000000,1954.0
N1152,ACC-9,ACC-9,EURUSD,SELL,0.46,2026-09-18 11:15:35.000000,2026-09-18 14:12:15.000000,10600.0
N1127,ACC-1,ACC-1,GBPUSD,BUY,0.16,2026-09-18 12:15:06.000000,2026-09-18 13:19:59.000000,3893.0
N1388,ACC-6,ACC-6,AUDUSD,SELL,0.33,2026-09-18 07:14:23.000000,2026-09-18 09:41:21.000000,8818.0
N1048,ACC-10,ACC-10,AUDUSD,BUY,1.94,2026-09-18 12:32:22.000000,2026-09-18 12:57:40.000000,1518.0
N1247,ACC-10,ACC-10,AUDUSD,BUY,0.14,2026-09-18 11:02:27.000000,2026-09-18 13:20:08.000000,8261.0
N1319,ACC-3,ACC-3,AUDUSD,BUY,1.18,2026-09-18 12:38:50.000000,2026-09-18 15:39:36.000000,10846.0
N1042,ACC-8,ACC-8,USDJPY,SELL,1.36,2026-09-18 07:39:18.000000,2026-09-18 10:20:57.000000,9699.0
N1026,ACC-3,ACC-3,AUDUSD,SELL,1.41,2026-09-18 09:53:30.000000,2026-09-18 12:04:48.000000,7878.0
N1138,ACC-1,ACC-1,GBPUSD,SELL,0.64,2026-09-18 07:14:55.000000,2026-09-18 07:39:14.000000,1459.0
N1056,ACC-7,ACC-7,EURUSD,SELL,1.11,2026-09-18 09:29:31.000000,2026-09-18 10:36:30.000000,4019.0
N1088,ACC-6,ACC-6,EURUSD,SELL,0.99,2026-09-18 12:38:18.000000,2026-09-18 14:35:50.000000,7052.0
N1230,ACC-6,ACC-6,EURUSD,BUY,0.49,2026-09-18 07:12:57.000000,2026-09-18 08:45:19.000000,5542.0
OVERSIZED1,ACC-7,ACC-7,GBPUSD,BUY,15.0,2026-09-18 09:00:00.000000,2026-09-18 09:20:00.000000,1200.0
SCALP1,ACC-3,ACC-3,EURUSD,BUY,0.38,2026-09-18 08:00:17.099675,2026-09-18 08:00:19.484309,2.384634
N1185,ACC-1,ACC-1,GBPUSD,SELL,0.54,2026-09-18 12:33:25.000000,2026-09-18 13:38:22.000000,3897.0
N1012,ACC-5,ACC-5,EURUSD,SELL,1.71,2026-09-18 07:09:52.000000,2026-09-18 09:40:17.000000,9025.0
N1346,ACC-2,ACC-2,AUDUSD,SELL,0.12,2026-09-18 11:15:47.000000,2026-09-18 12:48:22.000000,5555.0
N1326,ACC-7,ACC-7,AUDUSD,BUY,1.9,2026-09-18 07:11:13.000000,2026-09-18 08:42:49.000000,5496.0
N1223,ACC-3,ACC-3,USDJPY,BUY,1.73,2026-09-18 12:50:11.000000,2026-09-18 14:57:55.000000,7664.0
N1140,ACC-4,ACC-4,EURUSD,BUY,1.53,2026-09-18 09:44:09.000000,2026-09-18 11:20:36.000000,5787.0
N1076,ACC-10,ACC-10,USDJPY,BUY,0.6,2026-09-18 12:01:17.000000,2026-09-18 13:06:07.000000,3890.0
N1380,ACC-3,ACC-3,AUDUSD,BUY,0.51,2026-09-18 11:00:26.000000,2026-09-18 14:11:06.000000,11440.0
N1089,ACC-6,ACC-6,AUDUSD,SELL,0.29,2026-09-18 08:24:28.000000,2026-09-18 11:23:22.000000,10734.0
SCALP3,ACC-3,ACC-3,EURUSD,SELL,0.49,2026-09-18 08:01:02.492281,2026-09-18 08:01:04.304738,1.812457
N1234,ACC-4,ACC-4,EURUSD,BUY,1.03,2026-09-18 08:27:10.000000,2026-09-18 09:52:59.000000,5149.0
N1018,ACC-6,ACC-6,USDJPY,BUY,0.69,2026-09-18 09:53:00.000000,2026-09-18 11:17:06.000000,5046.0
N1024,ACC-7,ACC-7,EURUSD,BUY,0.93,2026-09-18 08:21:30.000000,2026-09-18 08:38:02.000000,992.0
N1033,ACC-5,ACC-5,AUDUSD,SELL,1.65,2026-09-18 12:53:35.000000,2026-09-18 15:58:01.000000,11066.0
N1222,ACC-3,ACC-3,GBPUSD,SELL,1.77,2026-09-18 11:48:54.000000,2026-09-18 12:08:50.000000,1196.0
N1219,ACC-10,ACC-10,EURUSD,BUY,1.34,2026-09-18 11:56:24.000000,2026-09-18 13:40:49.000000,6265.0
N1371,ACC-5,ACC-5,GBPUSD,SELL,1.45,2026-09-18 08:15:40.000000,2026-09-18 11:01:25.000000,9945.0
N1342,ACC-8,ACC-8,AUDUSD,SELL,1.5,2026-09-18 11:19:35.000000,2026-09-18 11:47:03.000000,1648.0
N1340,ACC-8,ACC-8,GBPUSD,BUY,0.79,2026-09-18 12:02:43.000000,2026-09-18 15:59:40.000000,14217.0
N1006,ACC-4,ACC-4,GBPUSD,BUY,0.65,2026-09-18 08:48:37.000000,2026-09-18 11:16:21.000000,8864.0
N1010,ACC-10,ACC-10,USDJPY,BUY,0.69,2026-09-18 09:47:09.000000,2026-09-18 11:58:55.000000,7906.0
N1308,ACC-2,ACC-2,USDJPY,SELL,1.9,2026-09-18 07:07:50.000000,2026-09-18 08:30:49.000000,4979.0
N1150,ACC-10,ACC-10,GBPUSD,SELL,0.46,2026-09-18 12:24:41.000000,2026-09-18 12:53:07.000000,1706.0
N1081,ACC-2,ACC-2,EURUSD,SELL,0.2,2026-09-18 08:22:21.000000,2026-09-18 10:20:05.000000,7064.0
N1286,ACC-1,ACC-1,AUDUSD,SELL,0.59,2026-09-18 12:38:17.000000,2026-09-18 13:21:16.000000,2579.0
N1313,ACC-7,ACC-7,USDJPY,BUY,1.32,2026-09-18 09:50:13.000000,2026-09-18 13:00:29.000000,11416.0
N1253,ACC-8,ACC-8,GBPUSD,SELL,1.55,2026-09-18 09:07:04.000000,2026-09-18 11:02:56.000000,6952.0
N1337,ACC-6,ACC-6,GBPUSD,BUY,0.92,2026-09-18 12:55:32.000000,2026-09-18 14:51:52.000000,6980.0
N1295,ACC-10,ACC-10,USDJPY,SELL,0.58,2026-09-18 08:32:20.000000,2026-09-18 12:05:00.000000,12760.0
N1331,ACC-2,ACC-2,AUDUSD,SELL,0.54,2026-09-18 10:46:17.000000,2026-09-18 11:57:31.000000,4274.0
N1213,ACC-7,ACC-7,USDJPY,BUY,0.69,2026-09-18 09:39:50.000000,2026-09-18 12:56:05.000000,11775.0
N1083,ACC-4,ACC-4,GBPUSD,SELL,0.77,2026-09-18 09:08:21.000000,2026-09-18 10:27:59.000000,4778.0
N1092,ACC-5,ACC-5,GBPUSD,BUY,1.02,2026-09-18 07:17:31.000000,2026-09-18 08:52:01.000000,5670.0
N1045,ACC-5,ACC-5,EURUSD,SELL,1.14,2026-09-18 10:05:20.000000,2026-09-18 12:44:27.000000,9547.0
N1262,ACC-1,ACC-1,GBPUSD,SELL,0.66,2026-09-18 11:40:44.000000,2026-09-18 12:00:35.000000,1191.0
N1046,ACC-5,ACC-5,USDJPY,BUY,0.9,2026-09-18 12:07:58.000000,2026-09-18 15:03:51.000000,10553.0
N1241,ACC-4,ACC-4,USDJPY,BUY,0.49,2026-09-18 09:08:49.000000,2026-09-18 11:48:04.000000,9555.0
N1195,ACC-5,ACC-5,EURUSD,SELL,0.84,2026-09-18 12:43:24.000000,2026-09-18 16:19:24.000000,12960.0
N1015,ACC-8,ACC-8,USDJPY,SELL,1.8,2026-09-18 09:17:01.000000,2026-09-18 12:49:18.000000,12737.0
N1277,ACC-3,ACC-3,EURUSD,SELL,0.37,2026-09-18 09:46:44.000000,2026-09-18 09:58:32.000000,708.0
N1058,ACC-5,ACC-5,USDJPY,SELL,1.26,2026-09-18 11:19:12.000000,2026-09-18 13:41:12.000000,8520.0
N1398,ACC-9,ACC-9,EURUSD,SELL,0.43,2026-09-18 11:47:51.000000,2026-09-18 11:59:48.000000,717.0
N1369,ACC-9,ACC-9,USDJPY,SELL,1.41,2026-09-18 08:02:24.000000,2026-09-18 11:14:18.000000,11514.0
N1059,ACC-10,ACC-10,EURUSD,BUY,1.54,2026-09-18 09:44:13.000000,2026-09-18 11:01:48.000000,4655.0
N1368,ACC-1,ACC-1,USDJPY,SELL,1.56,2026-09-18 07:12:19.000000,2026-09-18 11:08:58.000000,14199.0
N1039,ACC-3,ACC-3,AUDUSD,BUY,0.52,2026-09-18 08:38:35.000000,2026-09-18 11:31:21.000000,10366.0
N1176,ACC-3,ACC-3,AUDUSD,BUY,0.24,2026-09-18 10:28:10.000000,2026-09-18 10:38:28.000000,618.0
N1025,ACC-7,ACC-7,USDJPY,BUY,0.96,2026-09-18 12:38:49.000000,2026-09-18 16:32:02.000000,13993.0
N1317,ACC-7,ACC-7,EURUSD,BUY,1.06,2026-09-18 09:21:01.000000,2026-09-18 10:51:52.000000,5451.0
N1084,ACC-6,ACC-6,USDJPY,SELL,0.82,2026-09-18 10:15:41.000000,2026-09-18 13:13:06.000000,10645.0
N1061,ACC-6,ACC-6,USDJPY,BUY,0.17,2026-09-18 09:17:51.000000,2026-09-18 11:49:25.000000,9094.0
N1051,ACC-7,ACC-7,AUDUSD,BUY,1.04,2026-09-18 11:21:54.000000,2026-09-18 14:35:48.000000,11634.0
N1310,ACC-5,ACC-5,AUDUSD,SELL,0.35,2026-09-18 11:03:38.000000,2026-09-18 13:33:46.000000,9008.0
N1394,ACC-5,ACC-5,USDJPY,BUY,1.49,2026-09-18 12:23:48.000000,2026-09-18 14:09:54.000000,6366.0
N1184,ACC-7,ACC-7,GBPUSD,BUY,1.01,2026-09-18 07:30:31.000000,2026-09-18 07:33:14.000000,163.0
N1011,ACC-6,ACC-6,GBPUSD,SELL,1.0,2026-09-18 08:36:11.000000,2026-09-18 08:52:14.000000,963.0
N1017,ACC-2,ACC-2,GBPUSD,SELL,1.07,2026-09-18 10:18:02.000000,2026-09-18 10:59:00.000000,2458.0
N1067,ACC-9,ACC-9,EURUSD,BUY,1.49,2026-09-18 09:25:55.000000,2026-09-18 13:10:13.000000,13458.0
N1321,ACC-3,ACC-3,AUDUSD,SELL,1.89,2026-09-18 11:01:56.000000,2026-09-18 13:54:48.000000,10372.0
SCALP5,ACC-3,ACC-3,EURUSD,BUY,0.15,2026-09-18 08:02:08.818634,2026-09-18 08:02:10.348957,1.530323
N1096,ACC-2,ACC-2,AUDUSD,SELL,1.39,2026-09-18 08:40:44.000000,2026-09-18 10:49:02.000000,7698.0
N1068,ACC-2,ACC-2,EURUSD,BUY,0.73,2026-09-18 10:54:28.000000,2026-09-18 11:13:43.000000,1155.0
N1106,ACC-2,ACC-2,EURUSD,BUY,1.24,2026-09-18 08:57:05.000000,2026-09-18 11:48:14.000000,10269.0
N1004,ACC-7,ACC-7,GBPUSD,BUY,0.36,2026-09-18 12:37:12.000000,2026-09-18 14:39:10.000000,7318.0
N1349,ACC-10,ACC-10,USDJPY,SELL,0.19,2026-09-18 11:15:39.000000,2026-09-18 11:30:45.000000,906.0
N1102,ACC-8,ACC-8,EURUSD,BUY,1.32,2026-09-18 11:31:39.000000,2026-09-18 13:20:38.000000,6539.0
N1182,ACC-6,ACC-6,USDJPY,SELL,1.82,2026-09-18 11:59:02.000000,2026-09-18 14:38:22.000000,9560.0
N1269,ACC-5,ACC-5,EURUSD,SELL,0.65,2026-09-18 07:52:23.000000,2026-09-18 08:36:30.000000,2647.0
SCALP7,ACC-3,ACC-3,EURUSD,BUY,0.11,2026-09-18 08:02:54.755496,2026-09-18 08:02:57.538681,2.783185
N1386,ACC-1,ACC-1,AUDUSD,BUY,1.98,2026-09-18 12:22:07.000000,2026-09-18 15:30:05.000000,11278.0
WASH_B,ACC-10,GROUP-X,USDJPY,SELL,3.0,2026-09-18 10:00:08.000000,2026-09-18 10:05:08.000000,300.0
N1279,ACC-5,ACC-5,USDJPY,SELL,1.35,2026-09-18 07:18:41.000000,2026-09-18 09:17:33.000000,7132.0
SCALP2,ACC-3,ACC-3,EURUSD,BUY,0.38,2026-09-18 08:00:38.385643,2026-09-18 08:00:39.727162,1.341519
N1134,ACC-4,ACC-4,AUDUSD,BUY,0.3,2026-09-18 12:30:35.000000,2026-09-18 15:11:17.000000,9642.0
N1093,ACC-6,ACC-6,USDJPY,BUY,1.41,2026-09-18 11:09:23.000000,2026-09-18 13:18:41.000000,7758.0
N1159,ACC-3,ACC-3,EURUSD,SELL,0.82,2026-09-18 10:07:06.000000,2026-09-18 13:30:19.000000,12193.0
N1251,ACC-3,ACC-3,EURUSD,SELL,1.41,2026-09-18 08:58:31.000000,2026-09-18 09:35:02.000000,2191.0
N1227,ACC-4,ACC-4,GBPUSD,BUY,0.42,2026-09-18 07:49:00.000000,2026-09-18 11:05:55.000000,11815.0
N1236,ACC-8,ACC-8,USDJPY,SELL,1.45,2026-09-18 12:35:31.000000,2026-09-18 16:11:29.000000,12958.0
N1037,ACC-2,ACC-2,AUDUSD,BUY,1.27,2026-09-18 12:17:13.000000,2026-09-18 14:38:44.000000,8491.0
N1119,ACC-9,ACC-9,EURUSD,BUY,0.33,2026-09-18 08:11:03.000000,2026-09-18 11:57:13.000000,13570.0
N1124,ACC-7,ACC-7,EURUSD,SELL,0.7,2026-09-18 09:04:40.000000,2026-09-18 11:11:02.000000,7582.0
N1163,ACC-7,ACC-7,EURUSD,BUY,0.9,2026-09-18 09:09:53.000000,2026-09-18 10:24:24.000000,4471.0
N1111,ACC-8,ACC-8,GBPUSD,BUY,1.62,2026-09-18 12:15:06.000000,2026-09-18 15:17:32.000000,10946.0
N1244,ACC-9,ACC-9,EURUSD,BUY,0.91,2026-09-18 11:13:09.000000,2026-09-18 11:17:36.000000,267.0
N1166,ACC-8,ACC-8,USDJPY,BUY,1.64,2026-09-18 07:02:47.000000,2026-09-18 10:46:38.000000,13431.0
N1261,ACC-9,ACC-9,AUDUSD,BUY,0.85,2026-09-18 12:05:09.000000,2026-09-18 14:05:53.000000,7244.0
N1002,ACC-6,ACC-6,AUDUSD,BUY,0.82,2026-09-18 07:55:41.000000,2026-09-18 10:32:54.000000,9433.0
N1095,ACC-3,ACC-3,EURUSD,BUY,1.46,2026-09-18 12:13:52.000000,2026-09-18 13:17:18.000000,3806.0
N1131,ACC-3,ACC-3,GBPUSD,BUY,1.03,2026-09-18 07:20:36.000000,2026-09-18 07:46:42.000000,1566.0
N1023,ACC-8,ACC-8,USDJPY,BUY,0.35,2026-09-18 12:08:02.000000,2026-09-18 12:44:47.000000,2205.0
N1003,ACC-4,ACC-4,EURUSD,BUY,0.88,2026-09-18 08:39:26.000000,2026-09-18 12:36:48.000000,14242.0
N1357,ACC-3,ACC-3,GBPUSD,SELL,1.08,2026-09-18 10:23:36.000000,2026-09-18 13:09:00.000000,9924.0
N1238,ACC-8,ACC-8,AUDUSD,SELL,0.18,2026-09-18 11:52:18.000000,2026-09-18 11:53:21.000000,63.0
N1028,ACC-7,ACC-7,GBPUSD,SELL,1.75,2026-09-18 08:38:22.000000,2026-09-18 09:03:12.000000,1490.0
N1300,ACC-2,ACC-2,GBPUSD,SELL,0.8,2026-09-18 12:35:35.000000,2026-09-18 14:49:03.000000,8008.0
N1218,ACC-2,ACC-2,AUDUSD,SELL,0.3,2026-09-18 09:14:22.000000,2026-09-18 09:46:12.000000,1910.0
N1133,ACC-6,ACC-6,AUDUSD,SELL,1.74,2026-09-18 12:40:17.000000,2026-09-18 13:05:39.000000,1522.0
N1283,ACC-8,ACC-8,USDJPY,SELL,1.85,2026-09-18 10:05:41.000000,2026-09-18 12:57:34.000000,10313.0
